NCT Number,Study Title,Brief Summary,Conditions
NCT04937166,A Study of Dual-SIgnaling Protein 107 (DSP107) for Patients With Hematological Malignancies,"This study will be divided into two parts, Parts A and B and will enroll patients with relapsed/refractory AML or MDS/chronic myelomonocytic leukemia (CMML) patients who have failed up to 2 prior therapeutic regimens.Part A is a dose escalation study to explore the safety, efficacy, pharmacokinetic (PK) and pharmacodynamic (PD) profile of DSP107 when administered in combination with azacitidine (AZA).Part B is a dose escalation study to explore the safety, efficacy, PK and PD profile of DSP107 when administered in combination with AZA and venetoclax (VEN).",Acute Myeloid Leukemia|Myelodysplastic Syndromes|Chronic Myelomonocytic Leukemia
NCT05266274,Clinical Efficacy and Safety of CD47 Monoclonal Antibody Combined With Azacitidine in the Treatment of Recurrent AML After Transplantation,"After screening according to the criteria for selection and exclusion, patients who meet the criteria are selected, CD47 monoclonal antibody combined with azacitidine is used for the treatment of patients with recurrent AML after transplantation. The primary outcome is objective response rate (ORR).",Patients With Recurrent Acute Myelogenous Leukemia After Transplantation
NCT05586074,HEC73543 Versus Salvage Chemotherapy in R/R FLT3-ITD AML,"A randomized，multicenter, open-label Phase III, clinical study is conducted to evaluate the clinical benefit Clifutinib in Chinese patients with relapsed/ refractory (R/R) FLT3-mutated AML as shown with overall survival compared to salvage chemotherapy, and also to investigate the efficacy of Clifutinib as assessed by CR/CRh rate in these subjects.","Leukemia, Acute Myeloid (AML)"
NCT00861965,Bioengineered Allogeneic Immune Cells (AlloStim) Not Requiring HLA Donor Match for Blood Cancers,"This phase I/II clinical investigation is designed to determine the safety and anti-tumor effects of intravenous administration of the experimental immunotherapy drug, called AlloStim. The active ingredient of AlloStim is living, human immune cells that have been differentiated and expanded outside the body. Because AlloStim does not require HLA match, it is being evaluated as an alternative to allogeneic bone marrow/stem cell transplantation.","Advanced or Refractory Leukemia, Lymphoma, Multiple Myeloma"
NCT00219765,Safety and Efficacy of Imatinib in Combination With High Dose Chemotherapy for Acute Phase Chronic Myelogenous Patients,The aim of this phase I/II trial is to determine the dose of daunorubicine to be associated with cytarabine and Imatinib for induction therapy in patients with chronic myelogenous leukemia in myeloid acute phase.,Chronic Myeloid Leukemia
NCT03902665,Up-front Hematopoietic Stem Cell Transplantation in Acute Myeloid Leukemia Patients Aged 65-75,"Patients with acute myeloid leukemia aged 65-75 have a very poor prognosis, irrespective of the treatment strategy, including demethylating agents or conventional chemotherapy. With these approaches, remission rates do not exceed 40%, and overall disease-free survival at 1 year is in the order of 15%. The hypothesis is that up-front allogeneic hematopoietic stem cell transplant will produce a complete remission rate of 60% on day +56-70, and disease-free survival at 1 year of 30%. This is a single arm phase II study of upfront allogeneic stem cell transplantation, for patients with acute myeloid leukemia aged 65-75: the primary endpoint is a complete remission rate on day +56-70. The secondary endpoint is a 1-year overall disease-free survival of 30%.","Acute Myeloid Leukemia, Adult"
NCT03967665,Risk Stratification-directed NAC for Prevention of Poor Hematopoietic Reconstitution,"Allogeneic hematopoietic stem cell transplantation (allo-HSCT) is an effective treatment of malignant hematopoietic diseases. However, poor hematopoietic reconstitution including poor graft function (PGF) and prolonged isolated thrombocytopenia (PT), remains a life-threatening complication after allo-HSCT. Especially with the increasing use of haploidentical allo-HSCT (haplo-HSCT) in the past ten years, PGF and PT have become growing obstacles contributing to high morbidity and mortality after allo-HSCT. Due to the limited mechanism studies, the clinical management of PGF and PT is challenging.Recent prospective case-control studies reported that the reduced and dysfunctional bone marrow (BM) endothelial cells (ECs) after allo-HSCT are involved in the pathogenesis of PGF and PT. Moreover, in vitro treatment with N-acetyl-L-cysteine (NAC) could enhance the defective hematopoietic stem cell (HSC) function through repairing the dysfunctional BM ECs of PGF and PT patients. The investigators performed a small-scale pilot cohort study and saw encouraging clinical results that oral administration with NAC could partially repair the dysfunctional BM ECs and improve megakaryocytopoiesis in PT patients, which suggests that NAC is a promising drug in PT patients after allo-HSCT. In addition, prior prospective trial of the investigators suggests that BM ECs\<0.1% pre-HSCT is the risk factor for occurrence of the PGF and PT two months following allo-HSCT. Previous single-arm clinical cohort studies of the investigators showed that prophylactic use of NAC before allo-HSCT reduced the incidence of poor hematopoietic reconstitution after allo-HSCT in patients with ECs \<0.1% pre-HSCT.Therefore, the investigators designed the study with acute leukemia patients who will be scheduled to receive haplo-HSCT. The patients who are in the first complete remission at time of haplo-transplant will be enrolled in the study. Exclusive criteria are bronchila asthma and NAC allergy. The enrolled patients were risk-stratified into BM ECs≥0.1% group (low-risk group) and BM ECs\<0.1% group (high-risk group). Patients in high-risk group (ECs\<0.1%) will be randomized to 1 of 2 arms: (a) NAC 400 mg three times per day from 14 days pre-HSCT to 2 months post-HSCT, (b) No-NAC concurrent control according to a 2:1 schedule. The aim of the trail is to assess the effects of NAC for prevention of poor hematopoietic reconstitution in patients with acute leukemia undergoing haplo-HSCT.",Stem Cell Transplant Complications
NCT05367765,A Real World Study of the Efficacy and Safety of Flumatinib Versus Imatinib in Patients With Newly Diagnosed Chronic Myeloid Leukemia in Chronic Phase,"Flumatinib is an orally available TKI with high selectivity and potency against BCR-ABL1 kinase. It's a multi-center, open-label, real world study to explore the efficacy and safety of Flumatinib versus Imatinib as the first line therapy in patients with chronic myleiod leukemia(CML) in chronic phase(CP).","CML, Chronic Phase"
NCT05736965,A Study of Selinexor in Combination With Azacitidine and Venetoclax (SAV Regimen) in Treatment Naïve Participants With Acute Myeloid Leukemia,"This is a prospective, single-arm, multi-center clinical trial to evaluate the efficacy and safety of selinexor in combination with azacitidine and venetoclax for untreated acute myeloid leukemia.","AML, Adult"
NCT04224974,Emotion and Symptom-Focused Engagement Trial for Individuals With Acute Leukemia,"The purpose of this study is to find out whether a novel manualized intervention, called Emotion and Symptom-focused Engagement (EASE), that combines psychological support with symptom screening plus triggered referral to early palliative care for symptom control, reduces psychological distress and physical symptom burden in individuals newly diagnosed with acute leukemia. To do this, half of the participants in this study will receive the usual care offered to patients with acute leukemia and half of the participants will receive usual care plus the EASE intervention.",Acute Leukemia
NCT05410574,Family-Based Behavioral Treatment for Childhood Survivors of Acute Lymphoblastic Leukemia,"A single-arm, non-randomized four-month trial of the adapted family-based behavioral weight loss treatment (FBT) intervention will be conducted to evaluate its acceptability, feasibility, and preliminary indications of efficacy including measures of relative weight change and associated secondary outcomes (e.g., weight related health behaviors, health related quality of life), among 40 childhood acute lymphoblastic leukemia (ALL) survivors and their families.",Acute Lymphoblastic Leukemia
NCT05743465,"A Study to Evaluate Available Treatment Information of Ponatinib, Bosutinib, Imatinib, Dasatinib and Nilotinib in Adults With Chronic Myeloid Leukemia","The aims of this study are to learn out about treatment information (including amongst others treatment patterns, safety, development of a participant's condition) ponatinib, bosutinib, imatinib, dasatinib and nilotinib using already available data. No new data will be collected from participants as part of this study and no study medicines will be provided in this study.",Leukemia
NCT06250465,AGMT Austrian CLL (Chronic Lymphocytic Leukemia) Registry,"For until very recently CLL has been considered an uncurable disease, with the only few exceptions of a part of patients capable of undergoing and successfully standing allogeneic stem cell transplant. However, the introduction of chemoimmunotherapy in particular the FCR (fludarabine, cyclophosphamide, rituximab) regimen has established a relevant population of IgVH mutated patients, who remain relapse-free for up to 10 years with a clear plateau at this level. However, for the largest proportion of all CLL patients the disease is still associated with a reduction in life expectancy as compared to a matched population.The field has made further substantial progress by the introduction of BTK inhibitors and Bcl2 inhibitors, novel antibodies as well as by the understanding of the role of minimal residual disease (MRD), mutations and their clonal evolution over time as risk factors and factors governing the kind and duration of therapy.Due to the limited follow up of frontline therapy trials using novel drugs, it is not yet clear, what the long-term results with many of the new drugs will be. Particularly, long-term PFS, the potential for cure and the long-term safety issues remain relevant parameters requiring examination, as are infections, interactions with other drugs or quality of life issues.CLL has not been systematically assessed in Austria to date. This medical registry of the AGMT is thus the first Austrian-wide standardized documentation of this disease.",Chronic Lymphocytic Leukemia
NCT01570465,Prospective Study on Severe Infections on Acute Myeloid Leukemia (AML) Patients,"All patients receiving induction, consolidation and salvage chemotherapy, and autologous or allogeneic stem cell transplantation according to a strategy defined in the GIMEMA AML1310 protocol will be prospectively monitored for SI (bacteremia, invasive mycoses, other microbiologically documented bacterial infections, pneumonia, other invasive tissue infections and viral diseases) during each chemotherapy and transplant and the impact of these infections on survival will be evaluated until 24 months from the diagnosis of AML.",AML|Adult
NCT00982566,Assess the Oral Bioavailability of a New ABT-263 Formulation in Subjects With Cancer,"This is a randomized, single dose, open-label, multicenter crossover study to determine the oral bioavailability of a new ABT-263 formulation relative to that of the current ABT-263 formulation being administered in ongoing Phase 1/2a studies. Approximately 48 evaluable subjects with lymphoid malignancies, including chronic lymphocytic leukemia, and solid tumors will be enrolled in this study.",Lymphoid Malignancy|Solid Tumors
NCT02172365,"Allogeneic SCT for CML, TKI Failure After TKI Failure","The investigators will evaluate the outcomes of allogeneic stem cell transplantation which is the only curative treatment modality in the patients with chronic myeloid leukemia after failing tyrosine kinase inhibitor therapy. However, any update was not reported on the transplant outcomes in the patients failed TKI therapy, thus necessitating update of this data. Also, the European Group for Blood and Marrow Transplantation (EBMT) risk score is still of value, but insufficient numbers of patients have been transplanted in recent years and after TKI therapy to allow a robust reanalysis. Our study hypothesis is that allogeneic SCT treatment modality can rescue CML patients who failed TKI therapy due to resistance or to intolerance with improved survival and long-term outcomes. Also, another hypothesis will be examined if the EBMT risk score proposed pre-imatinib era can reproduce similar prognostic risk stratification of long-term outcomes in the patients treated with TKI.",Chronic Myeloid Leukemia
NCT02619565,Prospective Study of Molecular Predictors of Survival in Myelodysplastic Syndromes,"This study aims at prospectively enrolling a cohort of 400 incident cases of myelodysplastic syndromes (MDS) at diagnosis, to evaluate the impact of recurrent mutations on overall survival and event-free survival, using next generation sequencing. Patients are affected by ineffective hematopoiesis and a propensity to leukemia in the elderly with a global incidence of 10/100,000/year.",Myelodysplastic Syndromes
NCT04626765,CAR-T for Children With Relapsed and Refractory Acute Lymphoblastic Leukemia,"In this study, CAR-T will be administered to children with acute lymphoblastic leukemia to explore the effect of CAR-T intervention time on the duration of complete remission and further verify the long-term safety and efficacy of CAR-T treatment.",Childhood Acute Lymphoblastic Leukemia
NCT03262974,Effect of Pharmacogenetics on Imatinib Plasma Level and Response,"Imatinib, the tyrosine kinase inhibitor, is used for treatment of Philadelphia positive chronic myeloid leukemia. Despite its efficacy and favorable pharmacokinetic profile, there is a large inter-individual variability in imatinib plasma concentrations, which may lead to treatment failure and disease progression. Polymorphisms in genes related to absorption, distribution, metabolism and excretion of imatinib may affect the bioavailability and consequently the response to the drug.The study aims to investigate the possible effect of genetic polymorphisms in certain metabolizing enzymes \[CYP3A5\*3 (rs776746), CYP2C8\*3 (rs11572080 and rs10509681)\] and membrane transporters \[ABCB1 2677G\>T/A (rs2032582) and SLC22A1 1222A \> G (rs628031)\] by PCR on the plasma level (by HPLC-UV) and molecular response (MMR) of imatinib in patients with CML.The study also aims to provide CML patients with a personalized treatment option, thereby probably improving the response and reducing the side effects.",Chronic Myeloid Leukemia
NCT01067274,ALFA-0703 Study in Older Patients With Acute Myeloblastic Leukemia (AML),"A Randomized Multicenter Phase III Study to Evaluate the Role of All-trans Retinoic Acid (ATRA) in Combination with Induction Chemotherapy, or Azacitidine and Idarubicin as salvage therapy and Idarubicin with Cytarabine or Azacitidine as Maintenance Therapy in Older Patients with Acute Myeloblastic Leukemia (AML).To compare the outcome of elderly patients with newly-diagnosed AML treated with standard induction chemotherapy and post-remission therapy, in only patients in CR, with either azacitidine or cytarabine combined to idarubicin +/- ATRA and salvage therapy with azacitidine combined to idarubicin +/- ATRA.",Acute Myeloid Leukemia
NCT06367374,MRD Guided Sonrotoclax and Zanubrutinib in Newly Diagnosed CLL/SLL,"This is a single-arm, open-label study of sonrotoclax plus zanubrutinib with MRD-driven treatment duration in patients with previously untreated Chronic Lymphocytic Leukemia (CLL) or Small Lymphocytic Lymphoma (SLL).The primary goal of this study is to evaluate the efficacy of MRD-guided zanubrutinib plus sonrotoclax for first-line CLL/SLL treatment.",Chronic Lymphocytic Leukemia|Small Lymphocytic Lymphoma
NCT05983965,Study of Tazemetostat in Lymphoid Malignancies,"Tazemetostat is an oral EZH2 inhibitor which has been FDA approved for adult patients with relapsed or refractory (R/R) follicular lymphoma (FL) whose tumors are positive for an EZH2 mutation as detected by an FDA-approved test and who have received at least 2 prior systemic therapies, and for adult patients with R/R FL who have no satisfactory alternative treatment option. We propose a study to evaluate the safety of tazemetostat in relapsed / refractory peripheral T-cell lymphoma.",T-cell Lymphoma
NCT01188174,Clofarabine/Ara-C Treatment Combined With Reduced-intensity Conditioning Allogeneic Stem Cell Transplantation for Acute Myeloid Leukemia in Primary Treatment Failure,"The present trial will establish a prospective sequential Allogeneic Stem Cell Transplantation (allo-SCT) treatment combining both salvage chemotherapy and Reduced Intensity Conditioning (RIC) for primary treatment failure Acute Myeloid Leukemia (AML), to which future innovative strategies can be compared.",AML
NCT03971565,Evaluation of the Redox Profiles of Healthy and Pathological B Cells in Patients With Chronic Lymphocytic Leukemia,"In recent years, considerable progress has been made in understanding the biology of chronic lymphocytic leukemia (CLL), resulting in the emergence of new therapeutic agents that have significantly improved the long-term survival of patients. However, LLC is still considered an incurable disease.Cytogenetic abnormalities are frequently found in this pathology. Some abnormalities are associated with a more aggressive disease and a poor prognosis. The deletion of chromosome 17p (del (17p)), in particular, makes leukemic cells more resistant to standard therapy. Chromosome 17p contains the Tumor Protein 53 gene (TP53) which encodes the tumor suppressor protein 53 (P53) protein. P53 plays a central role in the regulation of important cellular functions such as DNA damage response, cell cycle regulation, apoptosis, and drug sensitivity of chemotherapies. In patients with CLL, the loss of p53 function is a major factor of chemoresistance and is associated with an adverse prognosis. The deletion (17p) is observed in approximately 5 to 10% of patients with CLL. In contrast, mutations in the TP53 gene are observed in approximately 30% of patients with CLL. This means that about one-third of patients with CLL have p53 dysfunction. TP53 and / or del (17p) mutated LLC cells show marked mitochondrial dysfunction. This dysfunction is responsible for a deregulation of intracellular redox phenomena, leading to an increase in oxidative stress and an overproduction of reactive oxygen derivatives (ROS).Dimethyl Ampal Thiolester (DIMATE) is an active, competitive and irreversible inhibitor of aldehyde dehydrogenases (ALDH) 1 and 3. In vitro, DIMATE eradicates human cells from acute myeloblastic leukemia (AML). In patients with CLL, current treatments, particularly effective, do not specifically target pathological B cells. This results in chronic B lymphopenia and hypogammaglobulinemias that provide severe long-term infections, which is the leading cause of death in patients with CLL.Through this study, we will study, in vitro, the expression of ALDH 1, 3, 9 but also of glutathione (GSH) and ROS on tumor B lymphocytes and healthy patients carrying an LLC. Depending on the differences in expression observed, DIMATE could specifically eradicate leukemic lymphocyte cells by sparing healthy lymphocytes, a hypothesis that will be tested in vitro. A special evaluation will be made in patients with del (17) and / or TP53 mutation whose prognosis is still considered unfavorable despite new therapeutic advances.",Chronic Lymphocytic Leukemia
NCT06886074,Efficacy of Short-course Blinatumomab for MRD Erradication in B-ALL,"Detectable measurable residual disease (MRD) is the most important prognostic factor for B-cell acute lymphoblastic leukemia (B-ALL) for overall survival (OS) and disease-free survival (DFS). Patients who are MRD positive and have no access to novel immunotherapies should receive an allogeneic hematopoietic stem cell transplantation (HSCT). Blinatumomab is considered a standard of care (SOC) for this group of patients, however, the ideal treatment dose for MRD is unknown as doses were adjusted from the relapsed/refractory setting. Preliminary data suggest short cycles of blinatumomab can also be effective in states of lower disease burden prior to transplant. Thus, the investigators are performing a phase 2 trial assessing 7 days of blinatumomab as a bridge to HSCTPrimary endpoint is assessing the MRD response following a short-course blinatumomab infusion in patients with B-ALL with complete response (CR) and have detectable MRD disease who are candidates for HSCT. Secondary endpoints include incidence of adverse events, OS, DFS, percentage of patients who receive HSCT, incidence of cytokine release syndrome (CRS) and immune effector cell associated neurotoxicity syndrome (ICANS)",Acute Lymphoblastic Leukemia|Measurable Residual Disease (MRD)
NCT01043874,Study to Evaluate Nilotinib in Chronic Myelogenous Leukemia (CML) Patients With SubOptimal Response,To evaluate the major molecular response (MMR) rate at 12 months of nilotinib treatment on study in patients with Philadelphia Chromosome Positive (Ph+) chronic myelogenous leukemia in chronic phase (CML-CP) who have a suboptimal molecular response to imatinib at 18 months or later.,Philadelphia Chromosome Positive|Chronic Myelogenous Leukemia in Chronic Phase
NCT00003174,Bryostatin 1 Plus Cladribine in Treating Patients With Relapsed Chronic Lymphocytic Leukemia,RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.PURPOSE: This phase I trial is studying the side effects and best dose of cladribine when given with bryostatin 1 in treating patients with relapsed chronic lymphocytic leukemia.,Leukemia
NCT00646165,Trial of Forodesine in Patients With Relapsed B-cell Chronic Lymphocytic Leukemia,To determine the dose and duration of treatment for the best overall response with Forodesine in relapsed B-cell chronic lymphocytic leukemia,B-cell Chronic Lymphocytic Leukemia
NCT02343965,"The Impact of the Practice of Touch-massage on the Anxiety of Patients With Hematological Disorders Hospitalized in a Protective Environment, a Randomized, Controlled Study","Each year, 17000 cases of severe hematological diseases are diagnosed in France, with more than 6,000 of these requiring hospitalization in a protective, sterile environment. New methods, such as touch massage, have emerged in response to anxiety symptoms observed in patients in such sterile and isolated surroundings. We hypothesize that during the period of isolation, touch massage becomes a nursing care which can help the patient.",Hematologic Diseases
NCT03147365,Effect of Different Exercises on Quality of Life of Leukemia Patients.,* To compare between modified strength training program and aerobic exercises on quality of life on children with Acute Lymphoblastic Leukemia.* To compare between modified strength training program and aerobic exercises on functional capacity on children with Acute Lymphoblastic Leukemia.,Quality of Life|Acute Lymphoblastic Leukemia|Exercise
NCT00278265,Methotrexate Followed by Fludarabine in Patients With T-Cell Large Granular Lymphocytic Leukemia,"RATIONALE: Drugs used in chemotherapy, such as methotrexate and fludarabine, work in different ways to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing.PURPOSE: This phase II trial is studying how well methotrexate works as first-line therapy and fludarabine works as second-line therapy in treating patients with T-cell large granular lymphocytic leukemia.",T-Cell Large Granular Lymphocytic Leukemia
NCT00861874,A Study of Decitabine in Combination With Escalating Doses of Rapamycin in Patients With Relapsed or Refractory Acute Myeloid Leukemia,The purpose of this study is to determine the safety and feasibility of the combination of decitabine given at a fixed dose with escalating doses of rapamycin in patients with relapsed or refractory acute myeloid leukemia.,Acute Myeloid Leukemia
NCT02828774,"Peptide-drug-conjugates for Personalized, Targeted Therapy of Chronic Lymphocytic Leukemia","Using phage libraries extensively pre-absorbed on a series of normal cell types, we will isolate phage specifically internalized by B-CLL cells from newly diagnosed and untreated CLL patients. Peptide sequences are then derived by Next Generation Sequencing (NGS). NGS-based studies are contributing to an improved understanding of cancer heterogeneity in order to tailor treatment to patients based on the individual makeup of their tumor. However the use of NGS to derive phage displayed peptide sequences is so far rare (22). Traditionally, after exposure to a target and recovery by elution, the phage clones are isolated by titration on bacterial lawns. It is technically demanding and labour intensive to select and analyze more than about 15 of the sometimes thousands clones recovered. Therefore information on other potentially important sequences is missed. NGS allows sequencing of the entire recovered phage pool and provides far more detailed bioinformatic analyses of peptide sequences or motifs. RNA from the CLL cells is used for RNA-seq expression sequencing. The wide application of NGS in combination with bioinformatics tools has begun to revolutionize cancer research, diagnosis and therapy. The peptide and RNA sequencing data will afford bioinformatic testing of correlations of exome expression and clinical parameters with the pattern of peptide sequences internalized by CLL cells of different patients. This information is crucial to answering questions 1, 2 and 3 discussed on page 1 above. The results of this analysis will probably not allow identification of specific receptors targeted by the peptides. The aim at this stage of the research is to identify candidate targeting peptides. Once identified, further research will be needed to identify the receptors to which they bind. Regarding question 4, there is currently very little published information on the therapeutic potential of PDCs in leukemia. Using two peptides we have isolated that target murine A20 leukemic cells, we will prepare multi-drug PDCs (using technology we have developed) and in an animal model, test their ability to enhance the survival and quality of life of CLL bearing animals.",CLL
NCT04828174,Anti-TRBC1 CAR-T Cell Therapy in Patients With TRBC1 Positive T Cell Malignancies,The purpose of this study is to evaluate the safety and efficacy of CAR T cell treatment targeting TRBC1 in patients with relapsed or refractory TRBC1 positive T-cell hematological maliganacies,Peripheral T Cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Anaplastic Lymphoma|Acute T Cell Leukemia|T-lymphoblastic Lymphoma
NCT02996474,Pembrolizumab and Decitabine for Refractory or Relapsed Acute Myeloid Leukemia,"Background:Acute myeloid leukemia (AML) is a cancer of the white blood cells. It is fatal if not treated. Treatment for AML that has not responded to treatment (refractory) or has returned after treatment (relapsed) often do not work. Researchers want to see if an immunotherapy drug, combined with a less intense chemotherapy, may be able to help.Objective:To test if pembrolizumab, in combination with decitabine, is a possible treatment for people with relapsed or refractory AML.Eligibility:Adults 18 years of age and older with refractory AML or relapsed AML.Design:Participants will be first screened for eligibility.The study is counted in 21-day cycles. The initial phase of the study consists of 8 cycles. Participants may be in the study for up to 2 years if they are responding to the treatment.The first 3 weeks of treatment is usually done in the hospital. The rest may be done as an outpatient.Participants will get pembrolizumab at the beginning of each cycle through an IV.Participants will usually get decitabine by IV on days 8 12 and days 15 19 of every other cycle.Participants will give blood samples.Participants will have bone marrow exams. A needle will be inserted into the hip to extract cells from the bone marrow.Some participants may give a sample of saliva from the inside of their cheek.Some participants may give a small skin sample. The top layer of the skin is removed.Some patients may require leukapheresis before starting treatment. This is a procedure to remove leukemia cells in the blood stream.",Relapsed Acute Myeloid Leukemia
